claim_id,country_code,country_name,year,year_label,end_year,title,summary,category,era_id,canonical_url,history_updated
TL:AFG:event:329bce:alexander-the-great-conquers-bactria,AFG,Afghanistan,-329,329–327 BCE,,Alexander the Great conquers Bactria,"Alexander of Macedon overruns Bactria and the lands of modern Afghanistan in a gruelling campaign, leaving Greek garrisons and settlers that seeded later Hellenistic kingdoms.",war,bactria-gandhara-and-the-buddhist-age,https://terralore.co/country/AFG/chronicle#ev-329bce-alexander-the-great-conquers-bactria,2026-08-22
TL:AFG:event:256bce:the-greco-bactrian-kingdom,AFG,Afghanistan,-256,c. 256 BCE,,The Greco-Bactrian kingdom,"Diodotus I breaks Bactria away from the Seleucid empire to found the independent Greco-Bactrian kingdom, a Hellenistic state that fused Greek and local traditions north of the Hindu Kush.",founding,bactria-gandhara-and-the-buddhist-age,https://terralore.co/country/AFG/chronicle#ev-256bce-the-greco-bactrian-kingdom,2026-08-22
TL:AFG:event:127:the-kushan-empire-and-gandhara-art,AFG,Afghanistan,127,2nd century CE,,The Kushan empire and Gandhara art,"Under rulers such as Kanishka the Kushans build an empire across Bactria and Gandhara, spreading Buddhism along the Silk Road and giving rise to the Greco-Buddhist Gandhara school of sculpture.",culture,bactria-gandhara-and-the-buddhist-age,https://terralore.co/country/AFG/chronicle#ev-127-the-kushan-empire-and-gandhara-art,2026-08-22
TL:AFG:event:550:the-bamiyan-buddhas-carved,AFG,Afghanistan,550,6th century CE,,The Bamiyan Buddhas carved,"Monks carve two colossal Buddhas, about 55 and 38 metres high, into the cliffs of the Bamiyan Valley, a great centre of Buddhist pilgrimage on the routes through the Hindu Kush.",religion,bactria-gandhara-and-the-buddhist-age,https://terralore.co/country/AFG/chronicle#ev-550-the-bamiyan-buddhas-carved,2026-08-22
TL:AFG:event:642:arab-conquest-and-the-coming-of-islam,AFG,Afghanistan,642,c. 642 CE,,Arab conquest and the coming of Islam,"Arab Muslim forces take Herat in the wake of the conquest of Persia, beginning the gradual and long-contested Islamisation of the Afghan lands.",religion,islam-ghaznavids-ghurids-and-timurids,https://terralore.co/country/AFG/chronicle#ev-642-arab-conquest-and-the-coming-of-islam,2026-08-22
TL:AFG:event:998:mahmud-of-ghazni-and-the-ghaznavid-empire,AFG,Afghanistan,998,998–1030 CE,1030,Mahmud of Ghazni and the Ghaznavid empire,Sultan Mahmud of Ghazni builds a vast empire from Afghanistan into Iran and India and turns his capital Ghazni into a centre of Islamic culture and learning.,politics,islam-ghaznavids-ghurids-and-timurids,https://terralore.co/country/AFG/chronicle#ev-998-mahmud-of-ghazni-and-the-ghaznavid-empire,2026-08-22
TL:AFG:event:1150:the-ghurids-sack-ghazni,AFG,Afghanistan,1150,c. 1150 CE,,The Ghurids sack Ghazni,"The Ghurids of central Afghanistan overthrow Ghaznavid power, sacking Ghazni and extending Muslim rule into northern India; their Minaret of Jam survives as a UNESCO World Heritage site.",war,islam-ghaznavids-ghurids-and-timurids,https://terralore.co/country/AFG/chronicle#ev-1150-the-ghurids-sack-ghazni,2026-08-22
TL:AFG:event:1405:herat-capital-of-the-timurid-renaissance,AFG,Afghanistan,1405,15th century CE,,"Herat, capital of the Timurid renaissance","Shah Rukh moves the Timurid capital to Herat, where he and Queen Gawhar Shad make the city a dazzling centre of architecture, poetry and miniature painting.",culture,islam-ghaznavids-ghurids-and-timurids,https://terralore.co/country/AFG/chronicle#ev-1405-herat-capital-of-the-timurid-renaissance,2026-08-22
TL:AFG:event:1747:ahmad-shah-durrani-founds-the-afghan-state,AFG,Afghanistan,1747,1747,,Ahmad Shah Durrani founds the Afghan state,A jirga at Kandahar elects Ahmad Shah Durrani ruler after Nadir Shah's death; the Durrani Empire he founds is regarded as the origin of the modern Afghan state.,founding,durrani-empire-and-the-great-game,https://terralore.co/country/AFG/chronicle#ev-1747-ahmad-shah-durrani-founds-the-afghan-state,2026-08-22
TL:AFG:event:1839:first-anglo-afghan-war,AFG,Afghanistan,1839,1839–1842,1842,First Anglo-Afghan War,"Britain invades to install a friendly ruler but is overwhelmed; a British-Indian force is destroyed during its disastrous 1842 retreat from Kabul, an early clash of the Great Game.",war,durrani-empire-and-the-great-game,https://terralore.co/country/AFG/chronicle#ev-1839-first-anglo-afghan-war,2026-08-22
