claim_id,source_key
TL:AFG:event:329bce:alexander-the-great-conquers-bactria,AFG:worldhistory-bactria
TL:AFG:event:329bce:alexander-the-great-conquers-bactria,AFG:britannica-afghanistan
TL:AFG:event:256bce:the-greco-bactrian-kingdom,AFG:worldhistory-bactria
TL:AFG:event:256bce:the-greco-bactrian-kingdom,AFG:ebsco-grecobactria
TL:AFG:event:127:the-kushan-empire-and-gandhara-art,AFG:britannica-kushan
TL:AFG:event:127:the-kushan-empire-and-gandhara-art,AFG:idp-kushan
TL:AFG:event:550:the-bamiyan-buddhas-carved,AFG:unesco-bamiyan
TL:AFG:event:550:the-bamiyan-buddhas-carved,AFG:britannica-bamiyan
TL:AFG:event:642:arab-conquest-and-the-coming-of-islam,AFG:britannica-muslimdynasties
TL:AFG:event:642:arab-conquest-and-the-coming-of-islam,AFG:loc-afghanistan
TL:AFG:event:998:mahmud-of-ghazni-and-the-ghaznavid-empire,AFG:britannica-ghaznavid
TL:AFG:event:998:mahmud-of-ghazni-and-the-ghaznavid-empire,AFG:britannica-mahmud
TL:AFG:event:1150:the-ghurids-sack-ghazni,AFG:britannica-ghaznavid
TL:AFG:event:1150:the-ghurids-sack-ghazni,AFG:britannica-ghazni
TL:AFG:event:1405:herat-capital-of-the-timurid-renaissance,AFG:britannica-herat
TL:AFG:event:1405:herat-capital-of-the-timurid-renaissance,AFG:loc-afghanistan
TL:AFG:event:1747:ahmad-shah-durrani-founds-the-afghan-state,AFG:britannica-durrani
TL:AFG:event:1747:ahmad-shah-durrani-founds-the-afghan-state,AFG:loc-afghanistan
TL:AFG:event:1839:first-anglo-afghan-war,AFG:britannica-angloafghanwars
TL:AFG:event:1878:second-anglo-afghan-war-and-the-treaty-of,AFG:britannica-angloafghanwars
TL:AFG:event:1893:the-durand-line-drawn,AFG:loc-afghanistan
TL:AFG:event:1893:the-durand-line-drawn,AFG:britannica-afghanistan
TL:AFG:event:1919:independence-and-the-treaty-of-rawalpindi,AFG:britannica-angloafghanwars
TL:AFG:event:1919:independence-and-the-treaty-of-rawalpindi,AFG:nam-thirdafghanwar
TL:AFG:event:1929:amanullah-s-reforms-collapse,AFG:britannica-amanullah
TL:AFG:event:1929:amanullah-s-reforms-collapse,AFG:loc-afghanistan
TL:AFG:event:1964:the-long-reign-of-zahir-shah,AFG:britannica-zahirshah
TL:AFG:event:1964:the-long-reign-of-zahir-shah,AFG:loc-afghanistan
TL:AFG:event:1973:daoud-khan-founds-the-republic,AFG:loc-afghanistan
TL:AFG:event:1973:daoud-khan-founds-the-republic,AFG:britannica-afghanistan
TL:AFG:event:1978:the-saur-revolution,AFG:statedept-sovietinvasion
TL:AFG:event:1978:the-saur-revolution,AFG:loc-afghanistan
TL:AFG:event:1979:the-soviet-invasion,AFG:statedept-sovietinvasion
TL:AFG:event:1979:the-soviet-invasion,AFG:britannica-sovietinvasion
TL:AFG:event:1989:soviet-withdrawal,AFG:britannica-sovietinvasion
TL:AFG:event:1989:soviet-withdrawal,AFG:statedept-sovietinvasion
TL:AFG:event:1992:collapse-of-the-communist-government-and-civil,AFG:loc-afghanistan
TL:AFG:event:1992:collapse-of-the-communist-government-and-civil,AFG:britannica-mullahomar
TL:AFG:event:1996:the-taliban-capture-kabul,AFG:britannica-mullahomar
TL:AFG:event:1996:the-taliban-capture-kabul,AFG:statedept-humanrights1996
TL:AFG:event:2001:destruction-of-the-bamiyan-buddhas,AFG:unesco-bamiyan
TL:AFG:event:2001:destruction-of-the-bamiyan-buddhas,AFG:britannica-bamiyan
TL:AFG:event:2001:us-led-intervention-topples-the-taliban,AFG:statedept-usafghanrelations
TL:AFG:event:2001:us-led-intervention-topples-the-taliban,AFG:britannica-mullahomar
TL:AFG:event:2021:taliban-return-to-power,AFG:statedept-dohaagreement
TL:AFG:event:2021:taliban-return-to-power,AFG:statedept-usafghanrelations
TL:AGO:event:1483:portuguese-reach-the-kingdom-of-kongo,AGO:britannica-angola
TL:AGO:event:1483:portuguese-reach-the-kingdom-of-kongo,AGO:worldhistory-angola
TL:AGO:event:1483:portuguese-reach-the-kingdom-of-kongo,AGO:wiki-kongo
TL:AGO:event:1491:kongo-adopts-christianity,AGO:wiki-kongo
TL:AGO:event:1491:kongo-adopts-christianity,AGO:britannica-angola
TL:AGO:event:1500:rise-of-ndongo-under-the-ngola,AGO:wiki-ndongo
TL:AGO:event:1500:rise-of-ndongo-under-the-ngola,AGO:britannica-mbundu
TL:AGO:event:1500:rise-of-ndongo-under-the-ngola,AGO:britannica-angola
TL:AGO:event:1550:ovimbundu-and-lunda-states-take-shape,AGO:britannica-angola
TL:AGO:event:1550:ovimbundu-and-lunda-states-take-shape,AGO:countrystudies-ovimbundu
TL:AGO:event:1576:portuguese-found-luanda,AGO:blackpast-luanda
TL:AGO:event:1576:portuguese-found-luanda,AGO:wiki-portuguese-angola
TL:AGO:event:1576:portuguese-found-luanda,AGO:worldhistory-angola
TL:AGO:event:1617:founding-of-benguela,AGO:wiki-portuguese-angola
TL:AGO:event:1617:founding-of-benguela,AGO:wiki-slavery-angola
TL:AGO:event:1624:njinga-becomes-queen-of-ndongo,AGO:wiki-nzinga
TL:AGO:event:1624:njinga-becomes-queen-of-ndongo,AGO:oxford-njinga
TL:AGO:event:1624:njinga-becomes-queen-of-ndongo,AGO:britannica-angola
TL:AGO:event:1631:njinga-rules-from-matamba,AGO:wiki-nzinga
TL:AGO:event:1631:njinga-rules-from-matamba,AGO:oxford-njinga
TL:AGO:event:1641:atlantic-slave-trade-at-its-height,AGO:slavevoyages
TL:AGO:event:1641:atlantic-slave-trade-at-its-height,AGO:blackpast-luanda
TL:AGO:event:1641:atlantic-slave-trade-at-its-height,AGO:wiki-slavery-angola
TL:AGO:event:1836:portugal-abolishes-the-slave-trade,AGO:wiki-slavery-angola
TL:AGO:event:1836:portugal-abolishes-the-slave-trade,AGO:wiki-portuguese-angola
TL:AGO:event:1885:berlin-conference-and-the-scramble,AGO:wiki-portuguese-angola
TL:AGO:event:1885:berlin-conference-and-the-scramble,AGO:britannica-angola
TL:AGO:event:1890:conquest-of-the-ovimbundu-kingdoms,AGO:countrystudies-ovimbundu
TL:AGO:event:1890:conquest-of-the-ovimbundu-kingdoms,AGO:britannica-angola
TL:AGO:event:1904:battle-of-the-cunene,AGO:wiki-history-angola
TL:AGO:event:1904:battle-of-the-cunene,AGO:britannica-angola
TL:AGO:event:1920:effective-occupation-completed,AGO:wiki-history-angola
TL:AGO:event:1920:effective-occupation-completed,AGO:britannica-angola
TL:AGO:event:1961:revolt-breaks-out,AGO:wiki-history-angola
TL:AGO:event:1961:revolt-breaks-out,AGO:britannica-angola
TL:AGO:event:1961:revolt-breaks-out,AGO:museu-cassanje
TL:AGO:event:1966:founding-of-unita,AGO:wiki-unita
TL:AGO:event:1966:founding-of-unita,AGO:britannica-mpla
TL:AGO:event:1974:carnation-revolution-in-portugal,AGO:statedept-angola-crisis
TL:AGO:event:1974:carnation-revolution-in-portugal,AGO:britannica-angola
TL:AGO:event:1975:alvor-agreement,AGO:statedept-angola-crisis
TL:AGO:event:1975:alvor-agreement,AGO:britannica-angola
TL:AGO:event:1975:independence-proclaimed,AGO:statedept-angola-crisis
TL:AGO:event:1975:independence-proclaimed,AGO:aaregistry-independence
TL:AGO:event:1975:independence-proclaimed,AGO:britannica-angola
TL:AGO:event:1975:cold-war-intervention,AGO:statedept-angola-crisis
